2024-10-04 14:02:34 [http-nio-8080-exec-2] INFO  c.d.f.trainsaction.TransactionFilter - Starting transaction with ID: 7efdfe50-3739-46fe-a350-ee536dc64412
2024-10-04 14:02:34 [http-nio-8080-exec-2] INFO  c.d.f.t.RequestLoggingInterceptor - Transaction ID: 7efdfe50-3739-46fe-a350-ee536dc64412 | Incoming request: GET /swagger-ui/swagger-ui.css
2024-10-04 14:02:34 [http-nio-8080-exec-4] INFO  c.d.f.t.RequestLoggingInterceptor - Transaction ID: 63da3007-5555-4e8b-917d-a8fccf02e88d | Incoming request: GET /swagger-ui/swagger-ui-bundle.js
2024-10-04 14:02:34 [http-nio-8080-exec-3] INFO  c.d.f.t.RequestLoggingInterceptor - Transaction ID: 18e83d31-aedd-4fb0-9f43-f186795ced12 | Incoming request: GET /swagger-ui/index.css
2024-10-04 14:02:34 [http-nio-8080-exec-3] INFO  c.d.f.t.RequestLoggingInterceptor - Transaction ID: 18e83d31-aedd-4fb0-9f43-f186795ced12 | Response status: 200
2024-10-04 14:02:34 [http-nio-8080-exec-3] INFO  c.d.f.trainsaction.TransactionFilter - Transaction with ID: 18e83d31-aedd-4fb0-9f43-f186795ced12 completed.
2024-10-04 14:02:34 [http-nio-8080-exec-2] INFO  c.d.f.t.RequestLoggingInterceptor - Transaction ID: 7efdfe50-3739-46fe-a350-ee536dc64412 | Response status: 200
2024-10-04 14:02:34 [http-nio-8080-exec-2] INFO  c.d.f.trainsaction.TransactionFilter - Transaction with ID: 7efdfe50-3739-46fe-a350-ee536dc64412 completed.
2024-10-04 14:02:34 [http-nio-8080-exec-3] INFO  c.d.f.trainsaction.TransactionFilter - Starting transaction with ID: bcacda8d-f91d-400f-b337-a0d962f0caa8
2024-10-04 14:02:34 [http-nio-8080-exec-3] INFO  c.d.f.t.RequestLoggingInterceptor - Transaction ID: bcacda8d-f91d-400f-b337-a0d962f0caa8 | Incoming request: GET /swagger-ui/swagger-ui-standalone-preset.js
2024-10-04 14:02:34 [http-nio-8080-exec-5] INFO  c.d.f.trainsaction.TransactionFilter - Starting transaction with ID: c6d5909f-5d6e-459b-88d9-df440e7079e7
2024-10-04 14:02:34 [http-nio-8080-exec-5] INFO  c.d.f.t.RequestLoggingInterceptor - Transaction ID: c6d5909f-5d6e-459b-88d9-df440e7079e7 | Incoming request: GET /swagger-ui/swagger-initializer.js
2024-10-04 14:02:34 [http-nio-8080-exec-3] INFO  c.d.f.t.RequestLoggingInterceptor - Transaction ID: bcacda8d-f91d-400f-b337-a0d962f0caa8 | Response status: 200
2024-10-04 14:02:34 [http-nio-8080-exec-3] INFO  c.d.f.trainsaction.TransactionFilter - Transaction with ID: bcacda8d-f91d-400f-b337-a0d962f0caa8 completed.
2024-10-04 14:02:34 [http-nio-8080-exec-4] INFO  c.d.f.t.RequestLoggingInterceptor - Transaction ID: 63da3007-5555-4e8b-917d-a8fccf02e88d | Response status: 200
2024-10-04 14:02:34 [http-nio-8080-exec-4] INFO  c.d.f.trainsaction.TransactionFilter - Transaction with ID: 63da3007-5555-4e8b-917d-a8fccf02e88d completed.
2024-10-04 14:02:34 [http-nio-8080-exec-5] INFO  c.d.f.t.RequestLoggingInterceptor - Transaction ID: c6d5909f-5d6e-459b-88d9-df440e7079e7 | Response status: 200
2024-10-04 14:02:34 [http-nio-8080-exec-5] INFO  c.d.f.trainsaction.TransactionFilter - Transaction with ID: c6d5909f-5d6e-459b-88d9-df440e7079e7 completed.
2024-10-04 14:02:34 [http-nio-8080-exec-6] INFO  c.d.f.trainsaction.TransactionFilter - Starting transaction with ID: 46e6f89e-e5a0-4c51-9a22-e5ed396a8003
2024-10-04 14:02:34 [http-nio-8080-exec-6] INFO  c.d.f.t.RequestLoggingInterceptor - Transaction ID: 46e6f89e-e5a0-4c51-9a22-e5ed396a8003 | Incoming request: GET /v3/api-docs/swagger-config
2024-10-04 14:02:34 [http-nio-8080-exec-6] INFO  c.d.f.t.RequestLoggingInterceptor - Transaction ID: 46e6f89e-e5a0-4c51-9a22-e5ed396a8003 | Response status: 200
2024-10-04 14:02:34 [http-nio-8080-exec-6] INFO  c.d.f.trainsaction.TransactionFilter - Transaction with ID: 46e6f89e-e5a0-4c51-9a22-e5ed396a8003 completed.
2024-10-04 14:02:34 [http-nio-8080-exec-7] INFO  c.d.f.trainsaction.TransactionFilter - Starting transaction with ID: cf0cc508-83b9-42ca-9d93-0ae225b30c52
2024-10-04 14:02:34 [http-nio-8080-exec-7] INFO  c.d.f.t.RequestLoggingInterceptor - Transaction ID: cf0cc508-83b9-42ca-9d93-0ae225b30c52 | Incoming request: GET /v3/api-docs
